entity,predict,output
POI,pasar tanah abang,trio favorite
POI,smp negeri pian,smp negeri pian raya satu atap
POI,pasar ciawi,pasar ciawi
POI,perumahan wahana,perumahan wahana
POI,pasar senen,"pasar senen, 3 jay"
POI,bukit ayu sukadamai,bukit ayu sukadamai
POI,san,san ba
POI,plaza hayam wuruk,plaza haya
POI,tondano public elemen school,"tondano public elemen school 8,"
POI,"indom, raya","indom, ra"
POI,mitra elektronik,mitra elektronik
POI,"sut, 311","sut, 3"
POI,wati salon,wati salon
POI,tunas utama computer,tunas utama computer
POI,"sd neg karngsembung 03, karangsembung","sd neg karngsembung 03, k"
POI,cluster tria adara residence 9,cluster tria adara residence 9
POI,basecamp adios,"basecamp adios,"
POI,rafles hills,rafles hills
POI,"punto, no","punto, no "
POI,kantor desa tele jambo,kantor desa tele jam
POI,perumahan parung permata indah,perumahan parung permata indah
POI,homework screenpr studio,"homework screenpr studio, raya"
POI,fly cell,fly cell
POI,komp walet jl. bra,komp walet jl
POI,zaskia gasi,"zaskia gasi, s"
POI,pasar sunan giri,pasar sunan giri
POI,dan dan jok,dan dan jok
POI,salamun,salamun
POI,essco net,essco net
POI,gajah mada no 42,gerobak jus19
POI,"baba ten, no","baba ten, no 21 t"
POI,klinik dan akupu abba,klinik dan akupu abba jend a
POI,siska kedam,"siska kedam, la"
POI,bank indonesia,bank indonesia
POI,toko filzah water serba jadi,toko filzah water
POI,"p. batur 1, 79","p. batur 1, 79 a"
POI,kamp onl pes,kamp onl pes pe
POI,lau laun & dry clean klp,lau laun & dry clean klp g
POI,patokan radio elmitra,radio elmitra
POI,"akad rela indonesia, candi","akad rela indonesia, cand"
POI,ria tapin,ria tapin
POI,palm spring regency,palm spring regency
POI,"lapa merdeka, rambung","lapa merdeka, ra"
POI,refan cell,refan cell
POI,"madr tsanawiyah swa darul hidayah, ampel","madr tsanawiyah swa darul hidayah, ampel"
POI,"tent pela, no 13","tent pela, no 13 sukoh clothing pro"
POI,"lapa bola,","lapa bola,"
POI,karya baru,karya baru
POI,putri inti lestari. pt,putri inti lestari. pt
POI,jura vari motor,"jura vari motor, kh m"
POI,bank mand,bank mand
POI,sekretariat mapala,"sekretariat mapala gal,"
POI,pancar surya jaya,pancar surya jaya
POI,perum perm ijen,perum perm i
POI,luci orang kayo,luci or
POI,suti,"suti, p"
POI,kud sri katon,kud sri katon
POI,taman kota,taman kota
POI,ksp kawan sejati,ksp kawan sejati
POI,pt. mura multi power,"pt. mura multi power, ma"
POI,mbak kus kupat tahu raya,mbak kus kupat tahu
POI,pondok jaya,pondok jaya
POI,depan rri,depan rri
POI,damai tb,damai tb
POI,"bank rak indon, raya","bank rak indon, raya "
POI,komplek pesona pasteur residence,komplek pesona pasteur residence
POI,doa ibu jual ikan segar,doa ibu jual ikan segar
POI,roky mas,roky mas
POI,"multa, klinik","multa, klinik be"
POI,plaza lotus,plaza lotus
POI,irzal cell,irzal cell
POI,"icha pon, tanjungpura","icha pon, t"
POI,sea mitra,sea mitra
POI,taju warung,taju warung
POI,toko cat warna jaya,toko cat warna jaya
POI,pt. une indonesia (unindo),"swadaya, pt. une indonesia (u"
POI,desa bangkeng,desa bangkeng
POI,"wahid has, pangk","wahid has, pangk lpg "
POI,bali galle pt,"bali galle pt, ba"
POI,tpb uad ringroad,tpb uad ringroad selatan 1
POI,"ploso ix, no 16a","ploso ix,"
POI,"bojo, no 21 war putri","bojo, no 21 "
POI,base camp,base camp 41 sei l
POI,"war sate,","war sate,"
POI,toko daeng tawang,toko daeng tawang
POI,amaroossa suite hotel bali,taman mumbul
POI,btn hamzi,btn hamzi
POI,"kertan,","kertan, n"
POI,commercial area 5th,commercial area 5th
POI,cluster bumi tessa,cluster bumi tessa
POI,tiying tutul,tiying tutul
POI,toko raya,toko raya
POI,batu bara,dekat
POI,toko mbak wati,toko mbak wati
POI,cici,cici bus
POI,rumah mode arbita,rumah mode arbita
POI,kp. pisangan,kp. pisangan
POI,optik i & u,optik i & u
POI,merdeka,merdeka
POI,toko bahan kue lenflin,toko bahan kue lenflin
POI,kecam gedangan,"kecam gedangan, ra"
POI,mess - pt,mess - pt dah pers sadaw
POI,asrama mahasiswa its,asrama mahasiswa its
POI,jess cakes,bangka jess c
POI,masjid ar rohman,masjid ar rohman
POI,pop es putri,pop es putri
POI,coto maros bagadang,coto maros bagadang
POI,imi cell,imi cell
POI,kampung pinang,kampung pi
POI,dani ud,"dani ud, ko"
POI,ibu bq. raq,"ibu bq. raq, r"
POI,indraprasta village,indraprasta village
POI,hendra jaya for jakarta batu,kebon kelapa hendra jaya f
POI,pt. imelda kartikasari radio,pt. imelda kartikasari radio
POI,alambhana,alambhana
POI,singgasana sport&recreation centre,singgasana sport&r
POI,smks trisakti tulangan,kepadangan smks trisak
POI,doria tata rias pengantin,doria tata rias pengantin
POI,gardenia park,gardenia park
POI,buana impian 2,buana impian 2
POI,gergunung toko sido mulyo,gergunung toko 
POI,tekn pabx panas bogor,"tekn pabx panas bogor, raya "
POI,nusa indah no 24,nusa indah no
POI,foto,foto ray
POI,villa prasadha,villa prasadha
POI,"war bu eni, kebonagung","war bu eni, k"
POI,stasiun belawan,stasiun belawan
POI,tok buku,tok buku pe
POI,palm 88,"palm 88, jl b"
POI,bengkel tebing,kasan bengkel
POI,smk negeri bali mandara,smk negeri bali mandara
POI,tk mult,"tk mult, ko"
POI,"war sederhana, h","war sederhana, h"
POI,rumah makan p sidimpuan,rumah makan p sidimpuan
POI,drg. lely indria sp.,drg. lely indria sp. r. panj
POI,"angga jaya 1, no 78 war makan","angga jaya 1, no 78 war makan i"
POI,pangkas rambut sunan giri,pangkas rambut
POI,h. suna,"h. suna, sa"
POI,taman amir,"""jl. taman amir h"
POI,abby muslim shop,abby muslim shop
POI,"elk cof shop,","elk cof shop,"
POI,perumahan sari bumi indah,perumahan sari bumi indah
POI,mas bai ghofar,"mas bai ghofar, jrah"
POI,wij mas,"wij mas, j"
POI,"smas kato ricci ii, car","smas kato ricci ii, c"
POI,"kolam ren unima, tataaran","kolam ren unima, t"
POI,anmo peter cung,anmo peter cung
POI,ruko kaloka,natasha ski
POI,toko gitar sej pema perum,toko gitar sej pema perum 
POI,"bank neg indonesia, bek","bank neg indonesia, b"
POI,omah mbah narto,omah mbah narto
POI,"toko meu jati jep, rapak","toko meu jati jep, rapa"
POI,"kum, no 65 toko","kum, no 65 tok"
POI,tanjung busana,tanjung busana
POI,pangkalan ojeg,pangkalan ojeg
POI,everlash,everlash
POI,la demoiselle ruko de,centro metro broadway
POI,centro metro broadway,centro metro broadway
POI,iwan tirta,iwan tirta
POI,pt glo synergy,"pt glo synergy utama, k"
POI,asuransi sina,"asuransi sina, s "
POI,puri permata 1,puri permata 1
POI,jend sudi no 525,jend sudi no 525 l
POI,masjid al musl,"masjid al musl,"
POI,komplek rahayu,komplek griya rahayu permai
POI,"pt maxi indon, gatot","pt maxi indon, gatot "
POI,cikupa toko tel biru tas citra raya,cikupa toko tel biru
POI,a m p l a s,komplek astra
POI,komplek astra,komplek astra
POI,apik snack,apik snack
POI,"war teh rina,","war teh rina, c"
POI,vict beauty,"vict beauty, h."
POI,"halim perd kusuma, no 106","halim perd kusuma, no"
POI,"sma neg 1 ngem, ngemplak","sma neg 1 ngem, ngemp"
POI,pela photo,"pela photo, k"
POI,"kalia ten,",kalia te
POI,pondok pesantren al istiq,pondok pesantren al istiq tel
POI,"jend gatot subr, no 4","jend gatot subr, no 4 museu"
POI,museum wasp purba,"jend gatot subr, no 4 museu"
POI,ande motor,"ande motor, d"
POI,pemancingan galatama nr,pemancingan galatama nr
POI,po. boyo boyolali-,po. boyo boyola
POI,toko tiga jaya,toko tiga jaya
POI,r coffee cor,"r coffee cor, j"
POI,abdul rah 6,abdul rah 
POI,water garden,water garden
POI,toko bu sulas,toko bu sulas
POI,surabaya fotokopi,surabaya fotokopi
POI,kompleks chrysant,kompleks chrysant
POI,warung kebun,warung kebun
POI,rich pt,"rich pt, na"
POI,abadi jaya,abadi jaya
POI,joo,"joo, l"
POI,domi pizza,"domi pizza, ar"
POI,ririn toko,ririn toko
POI,"bk 3,desa",bk 3
POI,wisata bukit mas 2,wisata bukit mas 2
POI,komplek puri citra,komplek puri citra
POI,"mush fac, raya","mush fac, raya "
POI,perum cattleya,perum cattleya
POI,tk al-qu,"tk al-qu, ma"
POI,indah surya,indah surya
POI,grand wisata,grand wisata
POI,jeep,"jeep laman adven, tu"
POI,puskesmas kesamben kulon,puskesmas kesamben kulon
POI,masjid al ghuf,"masjid al ghuf, w"
POI,komplek balekota,komplek balekota
POI,ud rajawali petisah,ud rajawali
POI,pt penta ins batu,pt penta ins ba
POI,damai snack,damai snack
POI,myheartgift souv,"myheartgift souv, ma"
POI,papan dan bambu roh,"papan dan bambu roh, c"
POI,wm mbak yani,wm mbak yani
POI,toko mainan,toko mainan
POI,raja gemstone,raja gemstone
POI,war pak apip,"war pak apip,"
POI,"tb sukses bers, dr.","tb sukses bers, d"
POI,tb jaya abadi,tb jaya abadi
POI,toko 46,toko 46
POI,terminal simpang nangka,terminal simpang nangka
POI,poliklinik kesehatan,poliklinik kesehatan desa pkd
POI,toko camek,toko camek
POI,mega lestari residence,mega lestari residence
POI,centrum sinode,centrum sinode
POI,"ptrum puri gad, no 2 jimbaran",ptrum pur
POI,ruko ciseeng,ruko ciseeng
POI,btn kolam,btn kolam
POI,tk hos,"tk hos, r"
POI,"raya setu ban geb, no 44","raya setu ban geb, no"
POI,azq,azq m.
POI,sanj,"sanj, p"
POI,villa ratu,villa ratu balqis
POI,primagama,"primagama engl,"
POI,mayor salim batubara no 1120,mayor salim batubara no
POI,padang halaban,padang halaban
POI,smp al hidayah,smp al hidayah
POI,rusun albo,rusun albo
POI,bank bri,seberang ba
POI,batt lor,gun lompo ba
POI,warkop vigis,warkop vigis
POI,"sul agung, 16","sul agung,"
POI,kancil putih,halte kancil putih
POI,jms nursery,jms nursery
POI,kampung sumur,kampung sumur
POI,sinar surya bogor,sinar surya
POI,flah muhtar,flah muhtar
POI,bolu kukus mangga majalengka,bolu kukus mangga majalengka
POI,darusalam 58 yosepin service,darusalam 58 yo
POI,"denada collec, jend","denada collec, je"
POI,toko 3 putra putri,toko 3 putra putri
POI,kios pakan ternak,kios pakan ternak pfp
POI,toko nabigha,toko nabigha
POI,g star,g star
POI,rusun cinta kasih tzu chi,rusun cinta kasih tzu chi
POI,warung bu nana,warung bu nana
POI,"raya sorea, no 54","raya sorea, no 54 "
POI,graha raya,graha raya n1 38 tran
POI,beng bamb,beng bamb
POI,merlyn toys,merlyn toys
POI,qq mandiri cv,qq mandiri cv
POI,riwa no 7,riwa no 7 sa
POI,sen high sch al azhar syifa budi pekan 2 sul,sen high sch al azhar syifa budi pekan 2 sul agung
POI,pos pol probolinggo,"pos pol probolinggo, p"
POI,"kios cell jep, dip,","kios cell jep, dip,"
POI,siliw no 496c cv,siliw no 496c cv
POI,graha dla,graha dla
POI,"pt pene erlangga pema siantar sisingama,",pt pene erlangga pema siantar sisinga
POI,mustika hegar regency,mustika hegar regency
POI,golf lake residence,golf lake residence
POI,pt. khazanah,pt. khazanah
POI,"margo bas, kaw kaw thai tea","margo bas, kaw kaw thai tea "
POI,taman kuliner cirendeu,taman kuliner cirendeu
POI,kan kepala desa tj,kan kepala desa tj. baru ba
POI,kantor urusan agama,kantor urusan agama
POI,kantor lurah rambutan,kantor lurah rambutan
POI,sawit usaha jariroto,sawit usaha jariroto
POI,rusun pesakih,rusun pesakih
POI,"kon handphone, tinu","kon handphone, t"
POI,momo suki and dim sum marg raya,momo suki and dim sum mar
POI,"haji saman, 30-31",metro atom plaza pasar baru lantai 1
POI,pos paud sedap malam,pos paud sedap malam
POI,bakso galery 37,bakso galery 37
POI,taman bunga nusantara,taman bunga nusantara
POI,"gatot subr,","gatot subr, "
POI,smk karya pembangunan i paron,paron smk karya pembangunan i
POI,jembatan cimerak,jembatan cimerak
POI,widya mart,widya mart
POI,bakery monami,bakery monami
POI,tara hotel,tara hotel
POI,kiki ipen,kiki ipen
POI,balai proteksi tana dki jakarta,balai proteksi tana dki jakarta ja
POI,kios bang madun,kios bang madun
POI,bintang bali timur cv,bintang bali timur cv
POI,komp apel indah,"komp apel indah, a"
POI,ute loundry,ute loundry
POI,rumah makan acc,pasar padawangi
POI,sari rasa rm-ho,sari rasa rm-ho
POI,siti ultah,siti ultah
POI,sanggar bunga,sanggar bunga
POI,pd putri bungsu,pd putri bungsu
POI,cikij,"cikij, c"
POI,toko kelan,toko kelan pen
POI,fahri cell,fahri cell
POI,gedung bri,gedung bri
POI,"pkni (persau kor napza indone, tebet","pkni (persau kor napza indone, tebet timur"
POI,bank mandiri syariah kcp,golden green
POI,dana cepat,dana cepat
POI,"pasar sore,",pasar sore
POI,kawasan berikat nusantara,kawasan berikat nusantara
POI,"kyai djoe, no","kyai djoe, n"
POI,teluk nara,teluk nara
POI,"perm biru, no x104","perm biru, no x104 p"
POI,warkop anda,warkop anda
POI,"yaya atta, putri","yaya atta, putri"
POI,kantor dpd ri perwakilan prov jabar,kantor dpd ri perwakilan prov jabar
POI,pesan yaya ar rah insan ung,"pesan yaya ar rah insan ung pend, grogol"
POI,asian cot pt,"asian cot pt, c"
POI,dr. krt. r.,dr. krt. r. w
POI,toko harry,toko harry
POI,toko mahk,"toko mahk, k"
POI,bawon,bawon
POI,"pulas, 60","pulas, "
POI,masjid daruttaqwa,warey rt rw 03 02. s
POI,dilem sharp service,dilem sharp service ke
POI,tailor bali sujati group,tailor bali sujati group
POI,mega access,"mega access, pet"
POI,komplek asia mega mas,komplek asia mega mas
POI,perumahan new kraksaan,perumahan new kraksaan land
POI,muslimah mutif,muslimah mutif
POI,golden vienna 2,golden vienna 2
POI,graha mustika,graha mustika
POI,tb. tunas mekar,tb. tunas mekar
POI,"war nik, lowokwaru","war nik, lowo"
POI,"perkeb xviii pt pers, raya","perkeb xviii pt pers, raya "
POI,bulu banyuputih,jetis bu
POI,tiying tutul,banjar tiyin
POI,alfa express,"alfa express shel bus term 2, p21, "
POI,anggrek depot,anggrek depot
POI,pos malang,pos malang
POI,"war marw sikeduk, cacaban","war marw sikeduk, cacab"
POI,ud hanifah,ud hanifah
POI,perm gordyn mr,perm gordyn mr
POI,sueph coffe,sueph coffe
POI,kampung sumur,kampung sumur
POI,mas taqwa,mas taqwa sa
POI,a ngop puja,"a ngop puja, pe"
POI,sang rias pengantin irma,"sang rias pengantin irma, s"
POI,tent pela no 12,tent pela no 12 
POI,perumahan permata,perumahan permata
POI,honda kali motor,"honda kali motor, r"
POI,nysm refill center,"nysm refill center, k"
POI,asrama pusdikzi,asrama pusdikzi
POI,masjid asy syuro,masjid asy syuro
POI,jakarta industrial estate,(aqua) jakarta industrial estate pul
POI,toko mani dua putri,toko mani dua putri
POI,bank ocbc nisp,bank ocbc nisp
POI,vibes sablon,vibes sablon
POI,b raya,b raya
POI,pabrik beras,pabrik beras sama mo
POI,perjihan 1,kelurahan benhil
POI,perum bukit indah lestari,perum bukit indah lestari pad
POI,"war padaidi, pengayoman","war padaidi, p"
POI,ud. sum,ud. sum rez gundi
POI,flash laundry,flash laundry
POI,casablanca mansion,casablanca mansion
POI,"intan, no c 10","intan, no c 1"
POI,wom finance,wom finance
POI,woodyfood,"woodyfood,"
POI,"kan pegad cab probolinggo, let","kan pegad cab probolinggo, let suto"
POI,toko bina peliha,"toko bina peliha, raya c"
POI,ryan wedding organizer,ryan wedding organiz
POI,pt. bramuda konsul,"pt. bramuda konsul mes,"
POI,palem semi,palem semi
POI,kli pijat refl tunanetra tgk.,kli pijat refl tunanetra tgk. c
POI,islamic center kajen,islamic center kajen
POI,restoran sushi tei,margo city
POI,sento batu akik,batu akik yk
POI,virgo game,virgo game
POI,halte kenten permai i,halte kenten permai i
POI,atika laundry and dry cleaning,atika laundry and dry cleaning
POI,raya cafe & resto,raya cafe & resto
POI,nugraha comp 2,nugraha comp 2 dr 
POI,agen travel jakarta,"agen travel jakarta rayh,"
POI,toko ayu,toko ayu
POI,annariyah tahu enak,annariyah tahu enak
POI,perumahan viyasa valley,perumahan viyasa valley
POI,nasi gurih pak zul,nasi gurih pak zul
POI,lotte mart,lotte mart
POI,blos a montessori creative kinderg,"blos a montessori creative kinderg, agung "
POI,mi swasta nu nurul haq,mi swasta nu nurul haq
POI,ketut surtini,ketut surtini
POI,dekat taman decent,dekat taman 
POI,"pon mahas ar royan, kart","pon mahas ar royan, kart,"
POI,"let m t haryono, no kav39",pt kao
POI,optik provision,optik provision j
POI,pamun putra,"pamun putra, le"
POI,holden indon bint,holden indon bin
POI,citra raya residence,cluster pesona atlantis
POI,bojong menteng,bojong menteng
POI,"bigc laun & karpet eksp, beng,","bigc laun & karpet eksp, beng,"
POI,toko fash,"toko fash, h"
POI,gerbang permai,gerbang permai
POI,perum wisma indah ii,"perum wisma indah ii, a 35 b"
POI,taman patih sampun,taman patih sampun
POI,rawabadak utara adly,rawabadak utara
POI,al azhar syifa budi,al azhar syifa budi
POI,dwitama wis,"dwitama wis, r"
POI,masyrukhin,masyrukhin
POI,warung ibu wawa,warung ibu wawa
POI,tk euis yuyu,tk euis yuyu
POI,warung widya,warung widya
POI,albest cell,albest cell
POI,sd negeri 60 ulu rurah,sd negeri 60
POI,"i gusti ngu rai,",i gusti ng
POI,puncak ratu,tebul barat
POI,nisa cell,nisa cell
POI,war mbak menuk sunan kudus,war mbak menuk su
POI,pondok cina danareksa sid depok,pondok cina danarek
POI,kompleks pt,kompleks pt. semen indonesia (persero) tbk
POI,"mari jogj, pem","mari jogj, pem"
POI,"apo kimia farma, raya","apo kimia farma, r"
POI,top medan,"top medan, b"
POI,griya berk,"griya berk, ga"
POI,pras,pras
POI,komplek bppt,komplek bppt
POI,kompleks ruko griya sha eksekutif,jatimulyo kompleks ruko griya sha eksekuti
POI,"pulau pan, no 14","pulau pan, no 14 toko b"
POI,lion super indo pt,lion super indo pt
POI,komplek bapindo,komplek bapindo
POI,andalusia rege,"andalusia rege, g"
POI,"eagle glo logistics pt, letj","eagle glo logistics pt, l"
POI,"primus laun, kebon","primus laun, k"
POI,cita sumatera agung,cita sumatera agung
POI,sen oil. pt,"sen oil. pt, c"
POI,smart deal,smart deal
POI,yyk motor,yyk motor
POI,nusa net medan,nusa net medan
POI,sahabat al-q,sahabat al-q cip
POI,tk pertiwi palar i,tk pertiwi palar i
POI,sd neg sidorejo lor 06 sala,sd neg sidorejo lor 06 sala imam b
POI,kedai kopi ireng,kedai kopi ireng
POI,"toko cah terang elec rak,","toko cah terang elec rak,"
POI,dolok merangir,pjka dolok mer
POI,"kh has ash, no 51d","kh has ash, no 51d sri"
POI,talang pancur,talang pancur
POI,kebon kosong o'ju dan gulle,kebon kosong o'ju dan 
POI,"jend ahmad yani, no 132c",pelayanan bpjs kesehatan
POI,komplek margaasih,komplek margaasih
POI,"diva laun, melanton","diva laun, m"
POI,"ayam pen & bakso mas agus, dur","ayam pen & bakso mas agus, d"
POI,yamaha permata suka mulya,yamaha permata suka mulya
POI,puskesmas leks 2,"puskesmas leks 2, b"
POI,toko kelontong,toko kelontong
POI,kampung bugis,kampung bugis kamp
POI,nur fuad tahunan alit,nur fuad
POI,situ cigangsa,situ cigangsa
POI,"war empe,","war empe,"
POI,batumarta v,batumarta v
POI,rifky cell,rifky cell
POI,suyati,suyati
POI,ud. seger mulia cerah,ud. seger mulia cerah
POI,dsn. kaka bonk,dsn. kaka bon
POI,kantor kelurahan kalisari,kelurahan kalisari
POI,karakan mas annafi,karakan mas a
POI,aipda,yayasan rumah rachel
POI,pasar yaahowu,pasar yaahowu
POI,buana impian 2,buana impian 2
POI,bam bis cafe,bam bis cafe jend 
POI,metro parung,metro parung
POI,agen rokok sin,agen rokok sin
POI,toko bangunan maju jaya,toko bangunan maju jaya
POI,jasm moda,"jasm moda, k"
POI,pt maju jaya sarana grafika,kompleks industri hitachi
POI,rm. risky,rm. risky
POI,agen resmi pt pos indonesia,agen resmi pt pos indonesia
POI,"kan- water 501 systemind,","kan- water 501 systemind, t"
POI,terminal pakusari,terminal pakusari
POI,lala,"lala, b"
POI,"perm laun, mawar","perm laun, mawa"
POI,prak dokter monika helena,"prak dokter monika helena dameria sinaga, 1"
POI,erna cake pasar fam,999 erna cake
POI,chici cell,chici cell
POI,flambo,"flambo restau,"
POI,"ade laun, gar,","ade laun, g"
POI,jembatan kali pemali,jembatan kali pemali
POI,warung bang jo,warung bang jo
POI,musholla,musholla
POI,"war sate rangga lawe,","war sate rangga lawe, t"
POI,walikota jakarta utara,walikota jakarta utara
POI,nasi pecel lek kasih,nasi pecel lek kasih
POI,"i, 11 bringin jiwa sejah pt asuransi","i, 11 bringin jiwa sejah pt asuransi ji"
POI,rumh,"rumh,kp s"
POI,throne broi,"throne broi,"
POI,pot batu anu andi,pot batu anu andi
POI,ngarai sianok iv,ngarai sianok
POI,ayu,"ayu gor, w"
POI,"ger, toko","ger, toko kera"
POI,jembatan kuning,jembatan kuning
POI,slb co yayasan pendidikan luar biasa,slb co yayasan pendidikan luar biasa
POI,pkbm insan madani,pkbm insan madani
POI,atm bri,atm bri
POI,dns advertising,dns advertising
POI,kedai telur,kedai telur
POI,"kost v ito lor kang, malalayang",kost v ito
POI,kawasan industri,kawasan industri
POI,"raya naro, no 81","raya naro, no 81 "
POI,toko duta sepeda khu alat sepeda,"toko duta sepeda khu alat sepeda, c"
POI,"raya cibore,","raya cibore, no"
POI,king clong,king clong
POI,toko h uki,toko h uki
POI,bintang puspita dwi,pt inoac polytechno indonesia.kaw
POI,"ban baru, no 2 yes","ban baru, no 2 yes your ev"
POI,honda abus motor,honda abus motor
POI,musholla putri,musholla putri
POI,sroto sokaraja mend,"sroto sokaraja mend, r"
POI,alin branded,alin branded ja
POI,nurhayati queen hot,"nurhayati queen hot, k"
POI,tk pgri gurang,"tk pgri gurang,"
POI,taman makam,podo
POI,rocky plaza hotel,rocky plaza
POI,sekret bpd kkss,sekret bpd kkss kota tern
POI,adam wiratama,adam wiratama
POI,sekar kina,"sekar kina, k"
POI,"kur, raya","kur, r"
POI,"masjid, no 31 mush al-fur","masjid, no 31 mush "
POI,wajik,wajik salak kanisa
POI,bakso ikan maling,"bakso ikan maling, ja"
POI,"tham resid, tham","tham resid, tham "
POI,sd negeri tugu 4,sd negeri tugu 4
POI,darmawan park,darmawan park
POI,tower sakura,tower sakura
POI,pintu gerb,pintu gerb 
POI,kp.puncak mulya,kp.puncak mu
POI,kawasan industri pier,pt.panasonic. kawasan
POI,tiga putri shop,tiga putri shop
POI,mie baso a roh,mie baso a roh ha
POI,bengkel agung (sam pt. ssyang) <,"bengkel agung (sam pt. ssyang) <, jl"
POI,tiki,tiki
POI,mie ayam & bakso,mie ayam & bakso
POI,mie ayam dan bakso cjdw,mie ayam dan bakso cjdw
POI,toko asah pisau serut,toko asah pisau serut
POI,lanud suryadarma kalijati,lanud suryadarma kalijati
POI,toko bu anwar,toko bu anwar
POI,bpk. subqi,bpk. subqi
POI,fathan.kids,fathan.kids
POI,blue bird group malala,"blue bird group malala, mo"
POI,"kedungdoro tunju plaza, 2 lan 3","tunju plaza, 2 lan 3"
POI,isrial indah,isrial indah tai pr
POI,pratama com,pratama com
POI,"bengkel las list sepakat bers waqaf,",bengkel las list sepakat bers waqaf
POI,pondok jaya,pondok jaya
POI,ahass mpm motor,ahass mpm motor waita
POI,indomaret,indomaret
POI,belang malum rm,belang ma
POI,"vete sukam johar, pab","vete sukam johar, pab tah"
POI,"raya cin, no m 26",ms matrial
POI,ms matrial,ms matrial
POI,"kh agus salim, no 2","kh agus salim, "
POI,masjid al masduq,"masjid al masduq,"
POI,warung makan seder,warung makan seder ray
POI,tk ta nu papa,"tk ta nu papa,"
POI,kadai rahmat enjoy,kadai rahmat enjoy
POI,griya melati mas,griya melati mas
POI,tk sinar lagoa indah,tk sinar lagoa indah
POI,gereja hkbp,gereja hkbp gunungs saom
POI,pemancar radio fm vir,"pemancar radio fm vir, w"
POI,nasi bebek bhok sahar,nasi bebek bhok sahar
POI,wijaya kus laundry and dry cleaning serv raya,wijaya kus laundry and dry cleaning serv raya 
POI,"beringin indah iv,","beringin indah iv,"
POI,the bay,the bay paradis
POI,"jend gatot subr, no 58a","jend gatot subr, no"
POI,mie n rice seafood chinesse food,mie n rice seafood chinesse food
POI,toko sart,toko sart go
POI,toko pancing,toko pancing
POI,"clas opti, man","clas opti, man "
POI,jaticempaka asr yatim dhuafa,jaticempaka asr yat
POI,dokter gigi wirawati,dokter gigi wirawati
POI,fajar electr,"fajar electr, ka"
POI,tecno fron co ltd pt,"tecno fron co ltd pt, se"
POI,rumah kue arj,"rumah kue arj, l"
POI,lest toys,lest toys je
POI,mas nurul sa'a,"mas nurul sa'a, poro"
POI,toko helm,"kalia ten, 99 tok"
POI,toko nurfadilah banta bant,toko nurfadilah
POI,toko bu yayah,toko bu yayah
POI,toko galon,toko galon
POI,rosl,"rosl, m"
POI,toko nadabilsa,toko nadabilsa
POI,pasar tambunan,pasar tambunan
POI,karu vari,karu vari gun a
POI,"toko oriza collec, kebon","toko oriza collec, ke"
POI,ud kasm,ud kasm
POI,rm. barokah,rm. barokah
POI,pondok benda,pondok benda
POI,"jend sudi,","jend sudi,"
POI,"patti, fira","patti, fira "
POI,tiki,tiki
POI,heaven memorial park,01 07 desa:buanajaya
POI,jangki,jangki
POI,nur abadi mobil,nur abadi mobil
POI,soto ayam kamp bu siti,"soto ayam kamp bu siti, b"
POI,kedai juice arfa,kedai juice arfa
POI,surya toserba,surya toserba
POI,taman bobo,taman bobo ci
POI,perum puri sampurna,perum puri sampurna
POI,angkringan 89,angkringan 89
POI,taman dayu,taman dayu
POI,"war makan juanda 2, juanda","war makan juanda 2, j"
POI,joko service,joko service
POI,terb industri vi oby & co,terb ind
POI,pasar pagi,"bakul pukis pasar pagi suko,"
POI,ir. h. jua no 109,rs juanda-er
POI,bakso & mie jaka,"bakso & mie jaka, s"
POI,war mie ayam bakso pak warj,"war mie ayam bakso pak warj, p"
POI,tri hijab,tri hijab su
POI,ruko sen niaga kalima jl,ruko sen niaga kalima jl. je
POI,warung krengs menthok,warung krengs menthok trun
POI,sakha salon,sakha salon
POI,sinar bintang,sinar bintang
POI,muara angke,jakarta uta
POI,pasar sayung petak,pasar sayung petak
POI,"lan 1 pasar regional tanah abang, fachr","lan 1 pasar regional tanah abang, f"
POI,toko pasar tidar,toko pasar tidar
POI,bnn sumatera barat,bnn sumatera barat
POI,kantor notaris & ppat ther yustina ariany sh,pegangsaan dua kantor notaris & ppat ther yustin
POI,bakso & mie ayam mart,bakso & mie ayam mart ra
POI,toko elektronik,toko elektronik
POI,onto photo,"onto photo, wa"
POI,toko lat,"toko lat, p"
POI,maju jaya vari,"maju jaya vari, s"
POI,depot air al kautsar,depot air al kautsar
POI,"perum gor ragil rege indah,",kopi nusantara
POI,balai pemasyar kelas ii metro,balai pemasyar kelas ii metro sutr
POI,stasiun niru,stasiun niru
POI,serv motor,serv motor ma
POI,toko hand,toko hand kempo ba
POI,"lamb setya adhi beng, t","lamb setya adhi beng, t pa"
POI,arw ponsel,"arw ponsel, r"
POI,pbl bangli,pbl bangli
POI,toko dadi,toko dadi merta
POI,stasiun palur,belakang stas
POI,jl.diponegoro,jl.diponegoro
POI,ra miftahul huda,ra miftahul huda
POI,clea tea bar and lounge,clea tea bar and lounge
POI,pks. padang,pks. padang ha
POI,"mar r. iswah,","mar r. iswah, jasa kebers "
POI,jasa kebers,"mar r. iswah, jasa kebers "
POI,kios ari,kios ari
POI,anis dhimas,anis dhimas
POI,alfa mekar,alfa mek
POI,abang ban motor,abang ban motor
POI,gedung graha dinamika,gedung graha dinamika
POI,terminal cangkiran,terminal cangkiran
